August,21.0
August,21.04
August,23.43
August,24.76
August,25.52
August,26.67
August,27.65
August,27.83
August,28.32
August,28.9
August,29.63
August,31.3
August,31.56
August,33.78
August,37.23
August,40.94
August,41.18
August,44.69
August,45.27
August,46.16
August,47.77
August,48.7
July,20.66
July,21.97
July,22.26
July,23.37
July,23.75
July,25.46
July,30.07
July,32.02
July,35.98
July,36.74
July,36.92
July,38.01
July,41.44
July,42.43
July,46.66
July,47.29
July,47.63
July,49.29
July,49.43
June,21.7
June,21.88
June,22.65
June,23.77
June,24.86
June,25.77
June,26.59
June,27.83
June,28.94
June,29.84
June,30.74
June,33.28
June,33.86
June,35.04
June,35.34
June,35.3
June,36.05
June,36.12
June,39.32
June,40.38
June,43.39
June,43.47
June,46.17
June,46.66
June,48.79
June,49.57
May,20.2
May,21.27
May,21.53
May,22.1
May,23.16
May,23.37
May,23.63
May,31.22
May,35.68
May,37.54
May,37.54
May,37.67
May,38.09
May,38.43
May,39.78
May,39.98
May,40.41
May,41.22
May,42.39
May,42.76
May,42.87
May,44.18
May,44.39
May,44.73
May,45.62
May,46.84
May,48.77
May,49.0
May,49.23
May,49.58
